State,Sample Year,Sample Month,NO2 Units,Average of NO2 Mean,O3 Units,Average of O3 Mean,SO2 Units,Average of SO2 Mean,CO Units,Average of CO Mean
Arizona,2005,1,Parts per billion,22.67485039,Parts per million,0.010018495,Parts per billion,1.21527622,Parts per million,0.661753403
Arizona,2005,2,Parts per billion,19.54268035,Parts per million,0.015479131,Parts per billion,0.678611351,Parts per million,0.46621319
Arizona,2005,3,Parts per billion,19.6748322,Parts per million,0.024243347,Parts per billion,1.245269612,Parts per million,0.523486475
Arizona,2005,4,Parts per billion,21.50932637,Parts per million,0.031231407,Parts per billion,1.787622496,Parts per million,0.60533561
Arizona,2005,5,Parts per billion,19.7193365,Parts per million,0.03136176,Parts per billion,2.31374814,Parts per million,0.56597074
Arizona,2005,6,Parts per billion,17.92105906,Parts per million,0.033335317,Parts per billion,2.485126533,Parts per million,0.428041921
Arizona,2005,7,Parts per billion,16.05264799,Parts per million,0.033647815,Parts per billion,1.782352173,Parts per million,0.426888339
Arizona,2005,8,Parts per billion,15.75583478,Parts per million,0.030683435,Parts per billion,1.382031105,Parts per million,0.357876657
Arizona,2005,9,Parts per billion,20.85275093,Parts per million,0.025807453,Parts per billion,1.64306082,Parts per million,0.51836357
Arizona,2005,10,Parts per billion,22.69612871,Parts per million,0.019925033,Parts per billion,2.330810825,Parts per million,0.641101765
Arizona,2005,11,Parts per billion,27.0296829,Parts per million,0.014436788,Parts per billion,2.395152674,Parts per million,0.989488136
Arizona,2005,12,Parts per billion,33.20592791,Parts per million,0.008394863,Parts per billion,2.352613419,Parts per million,1.254202846
California,2005,1,Parts per billion,17.4507957,Parts per million,0.015146566,Parts per billion,1.751420614,Parts per million,0.608582769
California,2005,2,Parts per billion,15.65357803,Parts per million,0.019561863,Parts per billion,1.42330214,Parts per million,0.506285136
California,2005,3,Parts per billion,13.50214134,Parts per million,0.027825695,Parts per billion,1.513140459,Parts per million,0.449160156
California,2005,4,Parts per billion,12.06241884,Parts per million,0.032433332,Parts per billion,1.382499327,Parts per million,0.401241384
California,2005,5,Parts per billion,9.521087024,Parts per million,0.032160825,Parts per billion,1.247430976,Parts per million,0.334671294
California,2005,6,Parts per billion,8.52581453,Parts per million,0.030985893,Parts per billion,1.189154396,Parts per million,0.293471738
California,2005,7,Parts per billion,10.30002388,Parts per million,0.029157801,Parts per billion,2.117986287,Parts per million,0.350391965
California,2005,8,Parts per billion,11.09650954,Parts per million,0.029771184,Parts per billion,2.050572706,Parts per million,0.33582482
California,2005,9,Parts per billion,13.51746349,Parts per million,0.028422909,Parts per billion,1.941924656,Parts per million,0.384668475
California,2005,10,Parts per billion,16.40730403,Parts per million,0.023881401,Parts per billion,1.748961723,Parts per million,0.473011949
California,2005,11,Parts per billion,20.0229727,Parts per million,0.018289916,Parts per billion,1.733452088,Parts per million,0.65713498
California,2005,12,Parts per billion,19.74486958,Parts per million,0.013569023,Parts per billion,1.738960836,Parts per million,0.722470501
Colorado,2005,1,Parts per billion,23.30912916,Parts per million,0.007420839,Parts per billion,1.434066194,Parts per million,0.729056048
Colorado,2005,2,Parts per billion,23.43214159,Parts per million,0.013255682,Parts per billion,1.295228114,Parts per million,0.647249136
Colorado,2005,3,Parts per billion,20.53646803,Parts per million,0.023526433,Parts per billion,1.336165717,Parts per million,0.51643735
