State,Year,Month,Value,1-Month % Change
Alabama,2000,01,4.7,-2.1
Alabama,2000,02,4.7,0.0
Alabama,2000,03,4.6,-2.1
Alabama,2000,04,4.6,0.0
Alabama,2000,05,4.5,-2.2
Alabama,2000,06,4.5,0.0
Alabama,2000,07,4.5,0.0
Alabama,2000,08,4.5,0.0
Alabama,2000,09,4.5,0.0
Alabama,2000,10,4.6,2.2
Alabama,2000,11,4.6,0.0
Alabama,2000,12,4.6,0.0
Alabama,2001,01,4.7,2.2
Alabama,2001,02,4.7,0.0
Alabama,2001,03,4.7,0.0
Alabama,2001,04,4.7,0.0
Alabama,2001,05,4.8,2.1
Alabama,2001,06,4.8,0.0
Alabama,2001,07,4.9,2.1
Alabama,2001,08,5.1,4.1
Alabama,2001,09,5.4,5.9
Alabama,2001,10,5.6,3.7
Alabama,2001,11,5.8,3.6
Alabama,2001,12,6.0,3.4
Alabama,2002,01,6.1,1.7
Alabama,2002,02,6.1,0.0
Alabama,2002,03,6.0,-1.6
Alabama,2002,04,6.0,0.0
Alabama,2002,05,5.9,-1.7
Alabama,2002,06,5.9,0.0
Alabama,2002,07,5.8,-1.7
Alabama,2002,08,5.8,0.0
Alabama,2002,09,5.8,0.0
Alabama,2002,10,5.8,0.0
Alabama,2002,11,5.8,0.0
Alabama,2002,12,5.8,0.0
Alabama,2003,01,5.8,0.0
Alabama,2003,02,5.8,0.0
Alabama,2003,03,5.9,1.7
Alabama,2003,04,6.0,1.7
Alabama,2003,05,6.1,1.7
Alabama,2003,06,6.1,0.0
Alabama,2003,07,6.2,1.6
Alabama,2003,08,6.2,0.0
Alabama,2003,09,6.1,-1.6
Alabama,2003,10,6.1,0.0
Alabama,2003,11,6.0,-1.6
Alabama,2003,12,6.0,0.0
Alabama,2004,01,6.0,0.0
Alabama,2004,02,6.0,0.0
Alabama,2004,03,5.9,-1.7
Alabama,2004,04,5.9,0.0
Alabama,2004,05,5.8,-1.7
Alabama,2004,06,5.8,0.0
Alabama,2004,07,5.7,-1.7
Alabama,2004,08,5.6,-1.8
Alabama,2004,09,5.6,0.0
Alabama,2004,10,5.5,-1.8
Alabama,2004,11,5.4,-1.8
Alabama,2004,12,5.2,-3.7
Alabama,2005,01,5.1,-1.9
Alabama,2005,02,4.9,-3.9
Alabama,2005,03,4.8,-2.0
Alabama,2005,04,4.6,-4.2
Alabama,2005,05,4.5,-2.2
Alabama,2005,06,4.4,-2.2
Alabama,2005,07,4.4,0.0
Alabama,2005,08,4.3,-2.3
Alabama,2005,09,4.3,0.0
Alabama,2005,10,4.3,0.0
Alabama,2005,11,4.2,-2.3
Alabama,2005,12,4.2,0.0
Alabama,2006,01,4.1,-2.4
Alabama,2006,02,4.1,0.0
Alabama,2006,03,4.1,0.0
Alabama,2006,04,4.1,0.0
Alabama,2006,05,4.1,0.0
Alabama,2006,06,4.1,0.0
Alabama,2006,07,4.1,0.0
Alabama,2006,08,4.1,0.0
Alabama,2006,09,4.1,0.0
Alabama,2006,10,4.0,-2.4
Alabama,2006,11,4.0,0.0
Alabama,2006,12,3.9,-2.5
Alabama,2007,01,3.9,0.0
Alabama,2007,02,3.8,-2.6
Alabama,2007,03,3.8,0.0
Alabama,2007,04,3.8,0.0
Alabama,2007,05,3.8,0.0
Alabama,2007,06,3.8,0.0
Alabama,2007,07,3.9,2.6
Alabama,2007,08,4.0,2.6
Alabama,2007,09,4.1,2.5
Alabama,2007,10,4.2,2.4
Alabama,2007,11,4.3,2.4
Alabama,2007,12,4.3,0.0
Alabama,2008,01,4.4,2.3
Alabama,2008,02,4.5,2.3
Alabama,2008,03,4.6,2.2
Alabama,2008,04,4.8,4.3
Alabama,2008,05,5.1,6.3
Alabama,2008,06,5.3,3.9
Alabama,2008,07,5.6,5.7
Alabama,2008,08,5.9,5.4
Alabama,2008,09,6.2,5.1
Alabama,2008,10,6.7,8.1
Alabama,2008,11,7.4,10.4
Alabama,2008,12,8.1,9.5
Alabama,2009,01,8.9,9.9
Alabama,2009,02,9.6,7.9
Alabama,2009,03,10.2,6.3
Alabama,2009,04,10.7,4.9
Alabama,2009,05,11.0,2.8
Alabama,2009,06,11.3,2.7
Alabama,2009,07,11.5,1.8
Alabama,2009,08,11.6,0.9
Alabama,2009,09,11.7,0.9
Alabama,2009,10,11.8,0.9
Alabama,2009,11,11.8,0.0
Alabama,2009,12,11.8,0.0
Alabama,2010,01,11.7,-0.8
Alabama,2010,02,11.6,-0.9
Alabama,2010,03,11.4,-1.7
Alabama,2010,04,10.8,-5.3
Alabama,2010,05,10.4,-3.7
Alabama,2010,06,10.1,-2.9
Alabama,2010,07,10.0,-1.0
Alabama,2010,08,9.9,-1.0
Alabama,2010,09,10.0,1.0
Alabama,2010,10,10.1,1.0
Alabama,2010,11,10.2,1.0
Alabama,2010,12,10.3,1.0
Alabama,2011,01,10.2,-1.0
Alabama,2011,02,10.2,0.0
Alabama,2011,03,10.1,-1.0
Alabama,2011,04,10.0,-1.0
Alabama,2011,05,10.0,0.0
Alabama,2011,06,10.0,0.0
Alabama,2011,07,9.9,-1.0
Alabama,2011,08,9.7,-2.0
Alabama,2011,09,9.4,-3.1
Alabama,2011,10,9.0,-4.3
Alabama,2011,11,8.6,-4.4
Alabama,2011,12,8.3,-3.5
Alabama,2012,01,8.1,-2.4
Alabama,2012,02,7.9,-2.5
Alabama,2012,03,8.0,1.3
Alabama,2012,04,8.1,1.3
Alabama,2012,05,8.2,1.2
Alabama,2012,06,8.3,1.2
Alabama,2012,07,8.2,-1.2
Alabama,2012,08,8.1,-1.2
Alabama,2012,09,7.9,-2.5
Alabama,2012,10,7.8,-1.3
Alabama,2012,11,7.6,-2.6
Alabama,2012,12,7.6,0.0
Alabama,2013,01,7.5,-1.3
Alabama,2013,02,7.4,-1.3
Alabama,2013,03,7.3,-1.4
Alabama,2013,04,7.2,-1.4
Alabama,2013,05,7.1,-1.4
Alabama,2013,06,7.0,-1.4
Alabama,2013,07,7.1,1.4
Alabama,2013,08,7.1,0.0
Alabama,2013,09,7.2,1.4
Alabama,2013,10,7.2,0.0
Alabama,2013,11,7.2,0.0
Alabama,2013,12,7.3,1.4
Alabama,2014,01,7.2,-1.4
Alabama,2014,02,7.2,0.0
Alabama,2014,03,7.2,0.0
Alabama,2014,04,7.1,-1.4
Alabama,2014,05,7.0,-1.4
Alabama,2014,06,6.9,-1.4
Alabama,2014,07,6.7,-2.9
Alabama,2014,08,6.6,-1.5
Alabama,2014,09,6.5,-1.5
Alabama,2014,10,6.4,-1.5
Alabama,2014,11,6.2,-3.1
Alabama,2014,12,6.1,-1.6
Alabama,2015,01,6.0,-1.6
Alabama,2015,02,6.0,0.0
Alabama,2015,03,6.1,1.7
Alabama,2015,04,6.1,0.0
Alabama,2015,05,6.2,1.6
Alabama,2015,06,6.2,0.0
Alabama,2015,07,6.2,0.0
Alabama,2015,08,6.1,-1.6
Alabama,2015,09,6.1,0.0
Alabama,2015,10,6.0,-1.6
Alabama,2015,11,6.0,0.0
Alabama,2015,12,6.0,0.0
Alabama,2016,01,6.0,0.0
Alabama,2016,02,5.9,-1.7
Alabama,2016,03,5.9,0.0
Alabama,2016,04,5.8,-1.7
Alabama,2016,05,5.8,0.0
Alabama,2016,06,5.8,0.0
Alabama,2016,07,5.8,0.0
Alabama,2016,08,5.8,0.0
Alabama,2016,09,5.9,1.7
Alabama,2016,10,5.9,0.0
Alabama,2016,11,5.8,-1.7
Alabama,2016,12,5.7,-1.7
Alabama,2017,01,5.4,-5.3
Alabama,2017,02,5.2,-3.7
Alabama,2017,03,4.9,-5.8
Alabama,2017,04,4.7,-4.1
Alabama,2017,05,4.5,-4.3
Alabama,2017,06,4.3,-4.4
Alabama,2017,07,4.2,-2.3
Alabama,2017,08,4.1,-2.4
Alabama,2017,09,4.0,-2.4
Alabama,2017,10,3.9,-2.5
Alabama,2017,11,3.9,0.0
Alabama,2017,12,3.9,0.0
Alabama,2018,01,3.9,0.0
Alabama,2018,02,3.9,0.0
Alabama,2018,03,4.0,2.6
Alabama,2018,04,4.0,0.0
Alabama,2018,05,4.0,0.0
Alabama,2018,06,4.0,0.0
Alabama,2018,07,4.0,0.0
Alabama,2018,08,3.9,-2.5
Alabama,2018,09,3.8,-2.6
Alabama,2018,10,3.7,-2.6
Alabama,2018,11,3.7,0.0
Alabama,2018,12,3.6,-2.7
Alabama,2019,01,3.6,0.0
Alabama,2019,02,3.5,-2.8
Alabama,2019,03,3.3,-5.7
Alabama,2019,04,3.2,-3.0
Alabama,2019,05,3.0,-6.3
Alabama,2019,06,2.9,-3.3
Alabama,2019,07,2.8,-3.4
Alabama,2019,08,2.8,0.0
Alabama,2019,09,2.7,-3.6
Alabama,2019,10,2.7,0.0
Alabama,2019,11,2.7,0.0
Alabama,2019,12,2.7,0.0
Alabama,2020,01,2.7,0.0
Alabama,2020,02,2.7,0.0
Alabama,2020,03,3.5,29.6
Alaska,2000,01,6.3,0.0
Alaska,2000,02,6.3,0.0
Alaska,2000,03,6.3,0.0
Alaska,2000,04,6.3,0.0
Alaska,2000,05,6.3,0.0
Alaska,2000,06,6.4,1.6
Alaska,2000,07,6.4,0.0
Alaska,2000,08,6.4,0.0
Alaska,2000,09,6.4,0.0
Alaska,2000,10,6.4,0.0
Alaska,2000,11,6.4,0.0
Alaska,2000,12,6.4,0.0
Alaska,2001,01,6.3,-1.6
Alaska,2001,02,6.3,0.0
Alaska,2001,03,6.3,0.0
Alaska,2001,04,6.3,0.0
Alaska,2001,05,6.3,0.0
Alaska,2001,06,6.4,1.6
Alaska,2001,07,6.4,0.0
Alaska,2001,08,6.4,0.0
Alaska,2001,09,6.5,1.6
Alaska,2001,10,6.5,0.0
Alaska,2001,11,6.6,1.5
Alaska,2001,12,6.7,1.5
Alaska,2002,01,6.8,1.5
Alaska,2002,02,6.9,1.5
Alaska,2002,03,7.0,1.4
Alaska,2002,04,7.2,2.9
Alaska,2002,05,7.3,1.4
Alaska,2002,06,7.4,1.4
Alaska,2002,07,7.4,0.0
Alaska,2002,08,7.5,1.4
Alaska,2002,09,7.5,0.0
Alaska,2002,10,7.5,0.0
Alaska,2002,11,7.5,0.0
Alaska,2002,12,7.6,1.3
Alaska,2003,01,7.7,1.3
Alaska,2003,02,7.7,0.0
Alaska,2003,03,7.8,1.3
Alaska,2003,04,7.8,0.0
Alaska,2003,05,7.9,1.3
Alaska,2003,06,7.9,0.0
Alaska,2003,07,7.9,0.0
Alaska,2003,08,7.9,0.0
Alaska,2003,09,7.8,-1.3
Alaska,2003,10,7.8,0.0
Alaska,2003,11,7.8,0.0
Alaska,2003,12,7.8,0.0
Alaska,2004,01,7.7,-1.3
Alaska,2004,02,7.7,0.0
Alaska,2004,03,7.6,-1.3
Alaska,2004,04,7.6,0.0
Alaska,2004,05,7.5,-1.3
Alaska,2004,06,7.5,0.0
Alaska,2004,07,7.4,-1.3
Alaska,2004,08,7.4,0.0
Alaska,2004,09,7.3,-1.4
Alaska,2004,10,7.3,0.0
Alaska,2004,11,7.2,-1.4
Alaska,2004,12,7.2,0.0
Alaska,2005,01,7.1,-1.4
Alaska,2005,02,7.0,-1.4
Alaska,2005,03,6.9,-1.4
Alaska,2005,04,6.8,-1.4
Alaska,2005,05,6.8,0.0
Alaska,2005,06,6.8,0.0
Alaska,2005,07,6.8,0.0
Alaska,2005,08,6.8,0.0
Alaska,2005,09,6.9,1.5
Alaska,2005,10,6.9,0.0
Alaska,2005,11,6.9,0.0
Alaska,2005,12,6.9,0.0
Alaska,2006,01,6.9,0.0
Alaska,2006,02,6.9,0.0
Alaska,2006,03,6.8,-1.4
Alaska,2006,04,6.7,-1.5
Alaska,2006,05,6.7,0.0
Alaska,2006,06,6.6,-1.5
Alaska,2006,07,6.6,0.0
Alaska,2006,08,6.5,-1.5
Alaska,2006,09,6.5,0.0
Alaska,2006,10,6.5,0.0
Alaska,2006,11,6.4,-1.5
Alaska,2006,12,6.4,0.0
Alaska,2007,01,6.3,-1.6
Alaska,2007,02,6.3,0.0
Alaska,2007,03,6.3,0.0
Alaska,2007,04,6.3,0.0
Alaska,2007,05,6.3,0.0
Alaska,2007,06,6.3,0.0
Alaska,2007,07,6.4,1.6
Alaska,2007,08,6.4,0.0
Alaska,2007,09,6.4,0.0
Alaska,2007,10,6.4,0.0
Alaska,2007,11,6.4,0.0
Alaska,2007,12,6.4,0.0
Alaska,2008,01,6.5,1.6
Alaska,2008,02,6.5,0.0
Alaska,2008,03,6.6,1.5
Alaska,2008,04,6.6,0.0
Alaska,2008,05,6.7,1.5
Alaska,2008,06,6.7,0.0
Alaska,2008,07,6.7,0.0
Alaska,2008,08,6.7,0.0
Alaska,2008,09,6.8,1.5
Alaska,2008,10,6.8,0.0
Alaska,2008,11,6.9,1.5
Alaska,2008,12,7.0,1.4
Alaska,2009,01,7.1,1.4
Alaska,2009,02,7.3,2.8
Alaska,2009,03,7.4,1.4
Alaska,2009,04,7.6,2.7
Alaska,2009,05,7.7,1.3
Alaska,2009,06,7.8,1.3
Alaska,2009,07,7.9,1.3
Alaska,2009,08,8.0,1.3
Alaska,2009,09,8.0,0.0
Alaska,2009,10,8.0,0.0
Alaska,2009,11,8.0,0.0
Alaska,2009,12,8.0,0.0
Alaska,2010,01,8.0,0.0
Alaska,2010,02,8.0,0.0
Alaska,2010,03,8.0,0.0
Alaska,2010,04,8.0,0.0
Alaska,2010,05,7.9,-1.3
Alaska,2010,06,7.8,-1.3
Alaska,2010,07,7.8,0.0
Alaska,2010,08,7.8,0.0
Alaska,2010,09,7.8,0.0
Alaska,2010,10,7.8,0.0
Alaska,2010,11,7.8,0.0
Alaska,2010,12,7.8,0.0
Alaska,2011,01,7.8,0.0
Alaska,2011,02,7.7,-1.3
Alaska,2011,03,7.7,0.0
Alaska,2011,04,7.6,-1.3
Alaska,2011,05,7.6,0.0
Alaska,2011,06,7.5,-1.3
Alaska,2011,07,7.5,0.0
Alaska,2011,08,7.5,0.0
Alaska,2011,09,7.5,0.0
Alaska,2011,10,7.5,0.0
Alaska,2011,11,7.5,0.0
Alaska,2011,12,7.4,-1.3
Alaska,2012,01,7.4,0.0
Alaska,2012,02,7.3,-1.4
Alaska,2012,03,7.3,0.0
Alaska,2012,04,7.2,-1.4
Alaska,2012,05,7.2,0.0
Alaska,2012,06,7.1,-1.4
Alaska,2012,07,7.1,0.0
Alaska,2012,08,7.0,-1.4
Alaska,2012,09,7.0,0.0
Alaska,2012,10,7.0,0.0
Alaska,2012,11,7.0,0.0
Alaska,2012,12,7.0,0.0
Alaska,2013,01,7.0,0.0
Alaska,2013,02,7.0,0.0
Alaska,2013,03,7.0,0.0
Alaska,2013,04,7.0,0.0
Alaska,2013,05,7.0,0.0
Alaska,2013,06,7.0,0.0
Alaska,2013,07,7.0,0.0
Alaska,2013,08,7.0,0.0
Alaska,2013,09,7.0,0.0
Alaska,2013,10,7.0,0.0
Alaska,2013,11,7.0,0.0
Alaska,2013,12,7.0,0.0
Alaska,2014,01,7.0,0.0
Alaska,2014,02,7.0,0.0
Alaska,2014,03,7.0,0.0
Alaska,2014,04,7.0,0.0
Alaska,2014,05,7.0,0.0
Alaska,2014,06,7.0,0.0
Alaska,2014,07,6.9,-1.4
Alaska,2014,08,6.9,0.0
Alaska,2014,09,6.8,-1.4
Alaska,2014,10,6.7,-1.5
Alaska,2014,11,6.6,-1.5
Alaska,2014,12,6.5,-1.5
Alaska,2015,01,6.5,0.0
Alaska,2015,02,6.5,0.0
Alaska,2015,03,6.5,0.0
Alaska,2015,04,6.5,0.0
Alaska,2015,05,6.5,0.0
Alaska,2015,06,6.5,0.0
Alaska,2015,07,6.5,0.0
Alaska,2015,08,6.5,0.0
Alaska,2015,09,6.5,0.0
Alaska,2015,10,6.6,1.5
Alaska,2015,11,6.6,0.0
Alaska,2015,12,6.7,1.5
Alaska,2016,01,6.7,0.0
Alaska,2016,02,6.8,1.5
Alaska,2016,03,6.8,0.0
Alaska,2016,04,6.8,0.0
Alaska,2016,05,6.9,1.5
Alaska,2016,06,6.9,0.0
Alaska,2016,07,6.9,0.0
Alaska,2016,08,6.9,0.0
Alaska,2016,09,6.9,0.0
Alaska,2016,10,6.9,0.0
Alaska,2016,11,6.9,0.0
Alaska,2016,12,6.9,0.0
Alaska,2017,01,6.9,0.0
Alaska,2017,02,6.9,0.0
Alaska,2017,03,6.9,0.0
Alaska,2017,04,6.9,0.0
Alaska,2017,05,6.9,0.0
Alaska,2017,06,6.9,0.0
Alaska,2017,07,6.9,0.0
Alaska,2017,08,6.9,0.0
Alaska,2017,09,6.9,0.0
Alaska,2017,10,6.9,0.0
Alaska,2017,11,6.8,-1.4
Alaska,2017,12,6.8,0.0
Alaska,2018,01,6.7,-1.5
Alaska,2018,02,6.7,0.0
Alaska,2018,03,6.6,-1.5
Alaska,2018,04,6.6,0.0
Alaska,2018,05,6.5,-1.5
Alaska,2018,06,6.5,0.0
Alaska,2018,07,6.4,-1.5
